datetime,site_id,users,throughput_mbps,sinr_db,energy_w
2025-04-01 00:00:00,Site_1,98,178.31,28.54,253.93
2025-04-01 01:00:00,Site_1,76,218.56,29.18,193.72
2025-04-01 02:00:00,Site_1,102,320.59,30.26,244.14
2025-04-01 03:00:00,Site_1,142,493.7,25.41,309.67
2025-04-01 04:00:00,Site_1,126,486.22,26.45,296.03
2025-04-01 05:00:00,Site_1,164,459.98,27.81,370.98
2025-04-01 06:00:00,Site_1,252,757.75,22.29,475.72
2025-04-01 07:00:00,Site_1,279,810.69,23.59,504.43
2025-04-01 08:00:00,Site_1,294,899.19,24.26,545.02
2025-04-01 09:00:00,Site_1,363,1115.16,18.69,657.71
2025-04-01 10:00:00,Site_1,375,1127.99,19.9,663.58
2025-04-01 11:00:00,Site_1,404,1078.64,16.13,696.93
2025-04-01 12:00:00,Site_1,439,1078.31,17.77,768.08
2025-04-01 13:00:00,Site_1,392,918.09,18.58,694.64
2025-04-01 14:00:00,Site_1,390,788.39,19.06,674.74
2025-04-01 15:00:00,Site_1,401,929.39,17.0,705.31
2025-04-01 16:00:00,Site_1,361,587.2,16.87,651.47
2025-04-01 17:00:00,Site_1,357,662.2,20.26,647.32
2025-04-01 18:00:00,Site_1,283,630.82,19.0,523.84
2025-04-01 19:00:00,Site_1,224,408.95,23.68,432.42
2025-04-01 20:00:00,Site_1,250,462.04,24.66,487.27
2025-04-01 21:00:00,Site_1,164,307.38,26.55,333.9
2025-04-01 22:00:00,Site_1,134,277.28,30.23,305.39
2025-04-01 23:00:00,Site_1,68,240.05,31.16,188.3
2025-04-02 00:00:00,Site_1,72,50.0,28.5,218.65
2025-04-02 01:00:00,Site_1,82,311.86,29.17,220.42
2025-04-02 02:00:00,Site_1,57,77.01,29.93,198.19
2025-04-02 03:00:00,Site_1,113,322.43,25.67,274.41
2025-04-02 04:00:00,Site_1,117,337.67,26.49,263.27
2025-04-02 05:00:00,Site_1,162,549.85,25.49,357.25
2025-04-02 06:00:00,Site_1,198,537.71,22.02,412.51
2025-04-02 07:00:00,Site_1,306,999.63,21.36,567.82
2025-04-02 08:00:00,Site_1,306,1071.96,20.92,551.38
2025-04-02 09:00:00,Site_1,323,885.59,18.19,581.44
2025-04-02 10:00:00,Site_1,407,1171.33,18.36,711.95
2025-04-02 11:00:00,Site_1,385,992.53,19.6,670.46
2025-04-02 12:00:00,Site_1,439,1123.05,16.98,775.42
2025-04-02 13:00:00,Site_1,391,907.81,17.83,687.94
2025-04-02 14:00:00,Site_1,400,821.51,18.89,672.97
2025-04-02 15:00:00,Site_1,420,871.38,18.32,733.39
2025-04-02 16:00:00,Site_1,405,875.24,18.29,704.02
